"","x"
"1","B"
"2","B"
"3","B"
"4","B"
"5","M"
"6","B"
"7","B"
"8","B"
"9","B"
"10","B"
"11","B"
"12","M"
"13","B"
"14","M"
"15","M"
"16","B"
"17","B"
"18","B"
"19","B"
"20","B"
"21","B"
"22","M"
"23","B"
"24","M"
"25","M"
"26","M"
"27","M"
"28","M"
"29","B"
"30","B"
"31","M"
"32","M"
"33","M"
"34","M"
"35","M"
"36","M"
"37","M"
"38","M"
"39","M"
"40","M"
"41","M"
"42","B"
"43","M"
"44","M"
"45","B"
"46","M"
"47","B"
"48","M"
"49","B"
"50","M"
"51","B"
"52","M"
"53","M"
"54","B"
"55","B"
"56","B"
"57","B"
"58","B"
"59","B"
"60","B"
"61","M"
"62","M"
"63","M"
"64","M"
"65","B"
"66","B"
"67","B"
"68","B"
"69","B"
"70","B"
"71","B"
"72","B"
"73","B"
"74","B"
"75","M"
"76","M"
"77","M"
"78","M"
"79","B"
"80","M"
"81","M"
"82","M"
"83","B"
"84","M"
"85","B"
"86","M"
"87","M"
"88","B"
"89","B"
"90","B"
"91","M"
"92","B"
"93","B"
"94","M"
"95","M"
"96","M"
"97","M"
"98","B"
"99","M"
"100","B"
"101","B"
"102","M"
"103","B"
"104","B"
"105","B"
"106","B"
"107","B"
"108","B"
"109","B"
"110","B"
"111","M"
"112","B"
"113","B"
"114","B"
"115","M"
"116","B"
"117","M"
"118","M"
"119","B"
"120","B"
"121","B"
"122","B"
"123","B"
"124","B"
"125","B"
"126","M"
"127","B"
"128","B"
"129","B"
"130","B"
"131","M"
"132","M"
"133","M"
"134","M"
"135","B"
"136","M"
"137","B"
"138","B"
"139","M"
"140","M"
"141","M"
"142","M"
"143","B"
"144","M"
"145","M"
"146","B"
"147","B"
"148","B"
"149","B"
"150","B"
"151","M"
"152","M"
"153","B"
"154","B"
"155","M"
"156","M"
"157","B"
"158","B"
"159","B"
"160","M"
"161","M"
"162","M"
"163","M"
"164","M"
"165","B"
"166","B"
"167","B"
"168","B"
"169","M"
"170","M"
"171","M"
"172","M"
"173","B"
"174","M"
"175","M"
"176","B"
"177","M"
"178","M"
"179","M"
"180","M"
"181","B"
"182","M"
"183","M"
"184","M"
"185","M"
"186","B"
"187","B"
"188","B"
"189","B"
"190","B"
"191","B"
"192","M"
"193","B"
"194","B"
"195","M"
"196","B"
"197","M"
"198","M"
"199","M"
"200","B"
"201","B"
"202","B"
"203","B"
"204","M"
"205","M"
"206","M"
"207","M"
"208","M"
"209","B"
"210","M"
"211","M"
"212","M"
"213","B"
"214","M"
"215","B"
"216","M"
"217","M"
"218","B"
"219","B"
"220","B"
"221","B"
"222","M"
"223","B"
"224","M"
"225","M"
"226","M"
"227","B"
"228","M"
"229","M"
"230","B"
"231","M"
"232","M"
"233","B"
"234","B"
"235","M"
"236","B"
"237","M"
"238","B"
"239","M"
"240","M"
"241","B"
"242","B"
"243","B"
"244","B"
"245","M"
"246","B"
"247","B"
"248","M"
"249","M"
"250","B"
"251","B"
"252","B"
"253","M"
"254","B"
"255","B"
"256","M"
"257","M"
"258","M"
"259","M"
"260","B"
"261","B"
"262","M"
"263","B"
"264","M"
"265","B"
"266","B"
"267","M"
"268","M"
"269","B"
"270","B"
"271","M"
"272","B"
"273","B"
"274","B"
"275","M"
"276","M"
"277","B"
"278","B"
"279","B"
"280","M"
"281","B"
"282","M"
"283","M"
"284","M"
"285","M"
"286","M"
"287","B"
"288","B"
"289","B"
"290","M"
"291","M"
"292","B"
"293","B"
"294","B"
"295","B"
"296","B"
"297","B"
"298","B"
"299","B"
"300","B"
"301","B"
"302","B"
"303","M"
"304","B"
"305","B"
"306","B"
"307","B"
"308","M"
"309","B"
"310","B"
"311","B"
"312","B"
"313","M"
"314","B"
"315","B"
"316","B"
"317","B"
"318","B"
"319","B"
"320","M"
"321","B"
"322","B"
"323","B"
"324","B"
"325","B"
"326","B"
"327","B"
"328","B"
"329","M"
"330","M"
"331","B"
"332","B"
"333","B"
"334","M"
"335","B"
"336","B"
"337","B"
"338","M"
"339","B"
"340","M"
"341","B"
"342","B"
"343","B"
"344","B"
"345","B"
"346","B"
"347","M"
"348","B"
"349","M"
"350","B"
"351","B"
"352","B"
"353","B"
"354","B"
"355","B"
"356","B"
"357","M"
"358","B"
"359","B"
"360","B"
"361","M"
"362","M"
"363","M"
"364","B"
"365","B"
"366","B"
"367","B"
"368","B"
"369","B"
"370","B"
"371","M"
"372","M"
"373","M"
"374","B"
"375","B"
"376","B"
"377","B"
"378","B"
"379","B"
"380","B"
"381","B"
"382","B"
"383","B"
"384","M"
"385","B"
"386","M"
"387","B"
"388","B"
"389","B"
"390","M"
"391","M"
"392","M"
"393","B"
"394","M"
"395","B"
"396","B"
"397","B"
"398","B"
"399","B"
"400","B"
"401","B"
"402","M"
"403","B"
"404","B"
"405","B"
"406","B"
"407","B"
"408","B"
"409","M"
"410","M"
"411","B"
"412","B"
"413","B"
"414","B"
"415","M"
"416","B"
"417","B"
"418","B"
"419","B"
"420","B"
"421","M"
"422","B"
"423","B"
"424","B"
"425","B"
"426","B"
"427","B"
"428","M"
"429","B"
"430","M"
"431","B"
"432","B"
"433","B"
"434","B"
"435","B"
"436","B"
"437","B"
"438","B"
"439","B"
"440","B"
"441","B"
"442","M"
"443","B"
"444","B"
"445","M"
"446","M"
"447","M"
"448","M"
"449","B"
